LOCATION,FID,INDICATOR,type,TIME,value,class,color
ARG,2,MEATCONSUMP,BEEF,2021,36.9,dark red,#cb181d
USA,16,MEATCONSUMP,BEEF,2021,26.1,dark red,#cb181d
BRA,5,MEATCONSUMP,BEEF,2021,24.6,dark red,#cb181d
ISR,14,MEATCONSUMP,BEEF,2021,23.3,dark red,#cb181d
CHL,3,MEATCONSUMP,BEEF,2021,20.5,dark red,#cb181d
KAZ,24,MEATCONSUMP,BEEF,2021,19.9,dark red,#cb181d
AUS,26,MEATCONSUMP,BEEF,2021,19.2,dark red,#cb181d
CAN,1,MEATCONSUMP,BEEF,2021,17.4,dark red,#cb181d
CHE,17,MEATCONSUMP,BEEF,2021,13,red,#fb6a4a
NOR,18,MEATCONSUMP,BEEF,2021,12.9,red,#fb6a4a
PRY,6,MEATCONSUMP,BEEF,2021,12.1,red,#fb6a4a
KOR,32,MEATCONSUMP,BEEF,2021,11.9,red,#fb6a4a
ZAF,10,MEATCONSUMP,BEEF,2021,11.7,red,#fb6a4a
NZL,9,MEATCONSUMP,BEEF,2021,11.7,red,#fb6a4a
GBR,8,MEATCONSUMP,BEEF,2021,11.4,red,#fb6a4a
RUS,34,MEATCONSUMP,BEEF,2021,10,red,#fb6a4a
TUR,15,MEATCONSUMP,BEEF,2021,9.8,peach,#fcae91
MEX,0,MEATCONSUMP,BEEF,2021,9,peach,#fcae91
COL,7,MEATCONSUMP,BEEF,2021,8.7,peach,#fcae91
VNM,29,MEATCONSUMP,BEEF,2021,8.4,peach,#fcae91
EGY,12,MEATCONSUMP,BEEF,2021,7.8,peach,#fcae91
JPN,33,MEATCONSUMP,BEEF,2021,7.7,peach,#fcae91
PAK,22,MEATCONSUMP,BEEF,2021,6.5,peach,#fcae91
IRN,21,MEATCONSUMP,BEEF,2021,5.9,peach,#fcae91
MYS,27,MEATCONSUMP,BEEF,2021,5.5,peach,#fcae91
UKR,19,MEATCONSUMP,BEEF,2021,4.7,light red,#fee5d9
PER,4,MEATCONSUMP,BEEF,2021,4.2,light red,#fee5d9
CHN,30,MEATCONSUMP,BEEF,2021,4.1,light red,#fee5d9
SAU,23,MEATCONSUMP,BEEF,2021,3.9,light red,#fee5d9
PHL,31,MEATCONSUMP,BEEF,2021,3.2,light red,#fee5d9
ETH,13,MEATCONSUMP,BEEF,2021,2.5,light red,#fee5d9
IDN,25,MEATCONSUMP,BEEF,2021,2.2,light red,#fee5d9
NGA,11,MEATCONSUMP,BEEF,2021,1.3,light red,#fee5d9
THA,28,MEATCONSUMP,BEEF,2021,1.2,light red,#fee5d9
IND,20,MEATCONSUMP,BEEF,2021,0.5,light red,#fee5d9
WLD,,MEATCONSUMP,BEEF,2021,6.4,peach,#fcae91
